"ID","OWNERID","ISDELETED","NAME","RECORDTYPEID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","MAYEDIT","ISLOCKED","ALLOW_COMMENTS_VOD__C","BUTTON_NAME_VOD__C","COUNTRY_OVERRIDE_VOD__C","ENDING_STATUS_VOD__C","EVENT_CONFIGURATION_VOD__C","EXTERNAL_ID_VOD__C","STARTING_STATUS_VOD__C","APPROVER_ROLE_VOD__C","ENTRY_CRITERIA_NOT_MET_MESSAGE_VOD__C","SFDC_ACTION_TYPE_VOD__C"
"a4Y3E0000001hRZUAY","00558000001PGYZAA4","false","EA -0000000282","012d0000000XPG4AAO","2017-02-21T22:41:03.000Z","00558000001PGYZAA4","2017-02-21T22:49:00.000Z","00558000001PGYZAA4","2017-02-22T11:37:37.000Z","true","false","false","Submit_for_Approval_vod","","Pre-Event","a4b3E00000001J3QAI","Submit_for_Approval_vodNonApprovalFlowAddPOApprover","Pre-Event","","",""
"a4Y3E0000001h02UAA","00558000001PGYZAA4","false","EA -0000000269","012d0000000XPG4AAO","2017-02-11T21:52:37.000Z","00558000001PGYZAA4","2017-02-11T21:56:18.000Z","00558000001PGYZAA4","2017-02-12T11:31:46.000Z","true","false","false","Replan_BMS","","Pre-Event","a4b3E00000001J3QAI","Pre-Eventa4b3E00000001J3QAIReplan_BMS","","","",""
"a4Y3E0000001h03UAA","00558000001PGYZAA4","false","EA -0000000270","012d0000000XPG4AAO","2017-02-11T21:52:37.000Z","00558000001PGYZAA4","2017-02-11T21:56:35.000Z","00558000001PGYZAA4","2017-02-15T11:38:07.000Z","true","false","false","PostEvent","","Post-Event","a4b3E00000001J3QAI","Post-Eventa4b3E00000001J3QAIPostEvent","","","",""
"a4Y3E0000001h04UAA","00558000001PGYZAA4","false","EA -0000000271","012d0000000XPG4AAO","2017-02-11T21:52:37.000Z","00558000001PGYZAA4","2017-02-11T21:56:46.000Z","00558000001PGYZAA4","2017-02-12T11:31:46.000Z","true","false","false","Close_vod","","Closed_vod","a4b3E00000001J3QAI","Closed_voda4b3E00000001J3QAIClose_vod","","","",""
"a4Y3E0000001h05UAA","00558000001PGYZAA4","false","EA -0000000272","012d0000000XPG4AAO","2017-02-11T21:52:37.000Z","00558000001PGYZAA4","2017-02-11T21:56:59.000Z","00558000001PGYZAA4","2017-02-12T11:31:46.000Z","true","false","false","Cancel_Event_vod","","Canceled_vod","a4b3E00000001J3QAI","Canceled_voda4b3E00000001J3QAICancel_Event_vod","","","",""
"a4Y3E0000001h06UAA","00558000001PGYZAA4","false","EA -0000000273","012d0000000XPG4AAO","2017-02-11T21:52:37.000Z","00558000001PGYZAA4","2017-02-21T22:46:17.000Z","00558000001PGYZAA4","2017-02-22T11:37:37.000Z","true","false","false","Submit_for_SFDC_Approval_BMS","","SFDC","a4b3E00000001J3QAI","SFDCSubmit_for_SFDC_Approval_BMS","","Approver_vod","BMS_EM_APPROVAL_CRITERIA_MESSAGE;;EVENT_MANAGEMENT_BMS","Submit_Manual_vod"
"a4Y3E0000001hPIUAY","00558000001PGYZAA4","false","EA -0000000281","012d0000000XPG4AAO","2017-02-15T11:50:54.000Z","00558000001PGYZAA4","2017-02-15T11:51:05.000Z","00558000001PGYZAA4","2017-02-16T11:37:23.000Z","true","false","true","Unlock_PostApproval","","Post-Event-PostApproval","a4b3E00000001J3QAI","EA - 0000000281","Closed_vod","","",""
"a4Y3E0000001h07UAA","00558000001PGYZAA4","false","EA -0000000274","012d0000000XPG4AAO","2017-02-11T21:55:32.000Z","00558000001PGYZAA4","2017-02-11T21:55:32.000Z","00558000001PGYZAA4","2017-02-11T21:55:32.000Z","true","false","false","Reschedule_vod","","Pre-Event","a4b3E00000001J3QAI","Pre-Eventa4b3E00000001J3QAIReschedule_vod","","","",""
"a4Y3E0000001h08UAA","00558000001PGYZAA4","false","EA -0000000275","012d0000000XPG4AAO","2017-02-11T21:55:32.000Z","00558000001PGYZAA4","2017-02-15T11:47:06.000Z","00558000001PGYZAA4","2017-02-16T11:37:23.000Z","true","false","true","Unlock_vod","","Post-Event","a4b3E00000001J3QAI","Post-Eventa4b3E00000001J3QAIUnlock_vod","Closed_vod","","",""
"a4Y3E0000001h09UAA","00558000001PGYZAA4","false","EA -0000000276","012d0000000XPG4AAO","2017-02-11T21:55:32.000Z","00558000001PGYZAA4","2017-02-11T21:55:32.000Z","00558000001PGYZAA4","2017-02-11T21:55:32.000Z","true","false","false","Recall_Approval_Request_vod","","SFDC","a4b3E00000001J3QAI","SFDCa4b3E00000001J3QAIRecall_Approval_Request_vod","","","","Recall_Approval_Request_vod"
"a4Y3E0000001h0AUAQ","00558000001PGYZAA4","false","EA -0000000277","012d0000000XPG4AAO","2017-02-11T21:55:32.000Z","00558000001PGYZAA4","2017-02-11T22:04:36.000Z","00558000001PGYZAA4","2017-02-12T11:31:46.000Z","true","false","false","Reject_vod","","SFDC","a4b3E00000001J3QAI","SFDCa4b3E00000001J3QAIReject_vod","","","","Reject_vod"
"a4Y3E0000001h0BUAQ","00558000001PGYZAA4","false","EA -0000000278","012d0000000XPG4AAO","2017-02-11T21:55:32.000Z","00558000001PGYZAA4","2017-02-11T22:04:23.000Z","00558000001PGYZAA4","2017-02-12T11:31:46.000Z","true","false","false","Approve_vod","","SFDC","a4b3E00000001J3QAI","SFDCa4b3E00000001J3QAI Approve_vod","","","","Approve_vod"
"a4Y3E0000001hOyUAI","00558000001PGYZAA4","false","EA -0000000279","012d0000000XPG4AAO","2017-02-14T22:38:46.000Z","00558000001PGYZAA4","2017-02-14T22:39:07.000Z","00558000001PGYZAA4","2017-02-15T11:38:07.000Z","true","false","false","PostEventPostApproval","","Post-Event-PostApproval","a4b3E00000001J3QAI","Post-Event-PostApproval0000000279","","","",""
